1,Friends on Mushrooms,1.06,Electronic rock
2,Understudy,1.06,Electronic
3,SremmLife,1.06,Hip hop
4,Title,1.09,Blue-eyed soul
5,Club Meds,1.13,Indie folk
6,Redemption of the Beast,1.13,Hardcore hip hop
7,Evermotion,1.13,Rock
8,Reality Show,1.13,R&B
9,My Garden,1.13,Alternative R&B
10,Uptown Special,1.13,Funk
11,Panda Bear Meets the Grim Reaper,1.13,Psychedelic pop
12,The Pale Emperor,1.16,Alternative rock
13,Time,1.16,Indie pop
14,The Wanderings of the Avener,1.19,Electronic
15,Girls in Peacetime Want to Dance,1.2,Indie pop
16,Vulnicura,1.2,Electronic
17,The Mindsweep,1.2,Electronicore
18,American Beauty/American Psycho,1.2,Alternative rock
19,B4.Da.$$,1.2,Hip hop
20,Tetsuo & Youth,1.2,Hip hop
21,Non-Fiction,1.2,R&B
22,Spellbound: The Collection,1.2,Post-punk
23,No Cities to Love,1.2,Punk rock
24,What a Terrible World; What a Beautiful World,1.2,Indie rock
25,Viet Cong,1.2,Indie rock
26,Man It Feels Like Space Again,1.23,Psychedelic rock
27,Unguarded,1.26,Pop
28,Modern Nature,1.26,Indie rock
29,F.E.A.R. (Face Everything and Rise),1.27,Hard rock
30,Juggernaut: Alpha,1.27,Progressive metal
31,Juggernaut: Omega,1.27,Progressive metal
32,Beyond the Red Mirror,1.3,Power metal
33,Secret Youth,1.3,Post-metal
34,Hyperview,2.02,Shoegazing
35,Shadows in the Night,2.03,Traditional pop
36,Wallflower,2.03,Vocal jazz
37,Reflection,2.03,Pop
38,Full Speed,2.03,Hip hop
39,Sauna,2.03,Lo-fi
40,Big Dark Love,2.03,Indie rock
41,Legacy: De Líder a Leyenda Tour,2.03,Reggaeton
42,What You Keep Close,2.05,Indie rock
43,Happy People,2.09,Indie rock
44,I Love You; Honeybear,2.1,Indie rock
45,Face the Fire,2.1,Pop
46,A Quien Quiera Escuchar,2.1,Pop
47,Disobedient,2.1,Hardcore punk
48,The Grand Experiment,2.1,Progressive rock
49,Love Elevation Suite,2.14,R&B
50,Let It Reign,2.16,Rock
51,Transfixiation,2.17,Noise rock
52,Love Stuff,2.17,Alternative
53,True Romance,2.17,R&B
54,Smoke + Mirrors,2.17,Indie rock
55,Love; Sex & Passion,2.17,R&B
56,Hexadic,2.17,Indie rock
57,Mono,2.17,Americana
58,Sour Soul,2.23,Hip hop
59,The Race for Space,2.23,Alternative
60,Return to Forever,2.23,Hard rock
61,A Conspiracy of Stars,2.23,Hard rock
62,The Order of Things,2.24,Melodic metalcore
63,Dark Sky Paradise,2.24,Hip hop
64,Fan of a Fan: The Album,2.24,R&B
65,We Fall,2.24,Alternative
66,Just Like You,2.24,Post-hardcore
67,Future Brown,2.24,Electronic
68,What Happens Next,2.24,Post-punk
69,First Kiss,2.24,Heartland rock
70,21 Días,2.24,Latin pop
71,Of Beauty and Rage,2.24,Alternative rock
72,Chasing Yesterday,2.25,Alternative rock
73,Skrillex and Diplo Present Jack Ü,2.27,EDM
74,Hand. Cannot. Erase.,2.27,Progressive rock
75,Colours,3.02,Pop
76,Let the Road,3.02,Pop
77,Realness,3.02,Dance
78,Piece by Piece,3.03,Pop
79,Aureate Gloom,3.03,Progressive rock
80,Another Eternity,3.03,Electronic
81,Still the One: Live from Vegas,3.03,Country
82,Epic Day,3.04,Hard rock
83,Brand New Day,3.1,Pop
84,Rebel Heart,3.1,Pop
85,Policy,3.1,Indie rock
86,Songs from Ireland,3.13,Pop
87,Spirit of the Anzacs,3.13,Country music
88,To Pimp a Butterfly,3.16,Hip hop
89,Froot,3.16,Synthpop
90,Tracker,3.16,Classic rock
91,Strangers to Ourselves,3.16,Indie rock
92,Taizé - Music of Unity and Peace,3.16,Choral
93,Bad News Boys,3.17,Garage rock
94,Diamonds,3.17,Contemporary Christian music
95,Madness,3.17,Post-hardcore
96,Kiss Me Once Live at the SSE Hydro,3.2,Pop
97,Toto XIV,3.2,Hard rock
98,I Don't Like Shit; I Don't Go Outside,3.23,Hip hop
99,For All My Sisters,3.23,Indie rock
100,Mr. Wonderful,3.24,Hip hop
101,2,3.24,Indie rock
102,Sometimes I Sit and Think; and Sometimes I Just Sit,3.24,Indie rock
103,Short Movie,3.24,Indie
104,LOVETAP!,3.24,Indie pop
105,Transmission.Alpha.Delta,3.24,Punk rock
106,Taylor Davis,3.24,Classical
107,Endless Forms Most Beautiful,3.27,Symphonic metal
108,Young Chasers,3.3,Indie rock
109,Reason,3.3,Soul
110,The Day Is My Enemy,3.3,Big beat
111,Kintsugi,3.31,Alternative rock
112,The Powers That B,3.31,Experimental hip hop
113,Day of the Dead,3.31,Rap rock
114,Ludaversal,3.31,Hip hop
115,Adventure,3.31,EDM
116,Postcards from Paradise,3.31,Rock
117,Carrie & Lowell,3.31,Indie folk
118,American Candy,3.31,Pop
119,Human,3.31,Alternative metal
120,The Album About Nothing,3.31,Hip hop
121,Culture of Volume,4.06,Indietronica
122,Glitterbug,4.06,Indie rock
123,Two Hands,4.06,Alternative metal
124,Future Hearts,4.07,Pop punk
125,No Pier Pressure,4.07,Rock
126,My House,4.07,Hip hop
127,What For?,4.07,Pop rock
128,Trickfinger,4.07,Acid house
129,What's Real,4.07,Alternative rock
130,A One,4.08,
131,Into the Wild Life,4.1,Hard rock
132,Better Than Home,4.14,Blues rock
133,Instant Gratification,4.14,Post-hardcore
134,Love Somebody,4.14,Country
135,Eyes Wide Open,4.14,Pop
136,Handwritten,4.14,Pop
137,Come Alive,4.17,Pop
138,From Birth to Burial,4.21,Alternative metal
139,Confessions,4.21,Metalcore
140,Untethered Moon,4.21,Indie rock
141,How Do You Feel Now?,4.21,Synthpop
142,Kindred,4.21,Synthpop
143,Jackrabbit,4.21,Baroque pop
144,Damogen Furies,4.21,Electronica
145,Love Story,4.21,Hip hop
146,Gemini (EP),4.25,Trap
147,The Magic Whip,4.27,Britpop
148,+ -,4.27,Alternative rock
149,Fly International Luxurious Art,4.28,Hip hop
150,Noita,5.01,Folk metal
151,Jackie,5.04,R&B
152,Wilder Mind,5.04,Folk rock
153,The Waterfall,5.04,Indie rock
154,Innova,5.05,Christian rock
155,Rose Windows,5.05,Psychedelic rock
156,When The Smoke Clears,5.12,Hard rock
157,Bush,5.12,Hip hop
158,Ask the Deep,5.12,Indie pop
159,The Desired Effect,5.18,Indie rock
160,Conchita,5.18,Pop
161,Love + War,5.18,Pop
162,Sol Invictus,5.19,Alternative rock
163,Coward,5.19,Post-Hardcore
164,Ratchet,5.19,R&B
165,Blurryface,5.19,Pop-rap
166,English Graffiti,5.25,
167,Out of the Wasteland,5.26,
168,Multi-Love,5.26,Indie rock
169,How Big; How Blue; How Beautiful,6.01,Indie pop
170,Peace is the Mission,6.01,Electronica
171,Ones and Zeros,6.06,Alternative rock
172,Drones,6.08,Alternative rock
173,Beneath the Skin,6.09,Indie pop
174,Cauterize,6.09,Heavy metal
175,Get To Heaven,6.15,Indie
176,Lantern,6.16,Electronic
177,Dark Before Dawn,6.23,Alternative metal
178,Not an Apology,7.21,Pop
179,Bahdeni Nami,7.28,Folk
180,Of Ghosts And Gods,7.31,Death metal
181,Male,7.31,
182,Cast In Steel,9.04,Pop
